clip,split,v9_mota,v14_mota,delta
INof_FD_OutFD_Light_FFcam_001,val,0.8384401114206128,0.841225626740947,0.0027855153203342198
INof_LD_IN_LLight_FFcam_001,train,0.7699260476581758,0.7682826622843056,-0.0016433853738702098
INof_LD_IN_Light_FFcam_002,val,0.5017462165308498,0.5215366705471478,0.019790454016297976
INof_LD_OutLD_Light_FFcam_001,train,0.5216666666666667,0.515,-0.00666666666666671
INof_LD_OutLD_Light_FFcam_002,train,0.7124394184168013,0.7253634894991923,0.01292407108239102
INof_LD_Out_Light_FFcam_001,val,0.64,0.6,-0.040000000000000036
INof_LD_Out_Light_FFcam_002,val,0.6764705882352942,0.6764705882352942,0.0
INof_LD_Out_Light_FFcam_004,train,0.5913461538461539,0.6057692307692308,0.014423076923076983
INof_MD_Indoor_Night_OHcam_001,val,0.7291781577495864,0.7253171538885825,-0.0038610038610038533
INof_MD_Indoor_Night_OHcam_002,train,0.6033464566929134,0.6131889763779528,0.009842519685039353
INof_MD_Out_Light_FFcam_001,test,0.7250639386189258,0.7212276214833759,-0.0038363171355498826
INof_MD_Out_Light_FFcam_002,train,0.665907797381901,0.6653386454183268,-0.0005691519635742104
INof_MD_Out_Light_FFcam_003,test,0.7861692447679709,0.7716105550500455,-0.0145586897179254
INof_MD_Out_Light_FFcam_004,val,0.6113989637305699,0.5751295336787565,-0.03626943005181338
MOT17-02,val,0.1882241664696146,0.19389926696618587,0.005675100496571273
MOT17-04,train,0.5633673586420461,0.5533891501318959,-0.009978208510150188
MOT17-05,train,0.29966795794133927,0.3497509684560044,0.05008301051466513
MOT17-09,train,0.5230296827021494,0.5035823950870011,-0.019447287615148356
MOT17-10,val,0.2843881856540085,0.2763713080168776,-0.008016877637130881
MOT17-11,train,0.5022082018927445,0.49085173501577284,-0.011356466876971671
MOT17-13,train,0.10706638115631695,0.1062098501070664,-0.0008565310492505418
MOT20-01,train,0.6605157847932415,0.6511783014673188,-0.009337483325922658
MOT20-02,test,0.6963574960800869,0.6941563140755036,-0.002201182004583302
MOT20-03,train,0.6575295554033531,0.6583633602334653,0.0008338048301121948
MOT20-05,val,0.741917328921316,0.7421275326154764,0.00021020369416036022
PP22_00000,train,0.0,0.0,0.0
PP22_00001,train,0.19695652173913047,0.2282608695652174,0.03130434782608693
PP22_00002,train,0.40340909090909094,0.41666666666666663,0.01325757575757569
PP22_00003,train,0.15471564818085481,0.16937477922995403,0.014659131049099217
PP22_00004,train,0.32156862745098036,0.3081232492997199,-0.013445378151260456
PP22_00005,train,0.5232108317214701,0.5602836879432624,0.03707285622179235
PP22_00006,train,0.1728395061728395,0.16186556927297668,-0.010973936899862813
PP22_00007,train,0.34228428213390616,0.3616183315431436,0.01933404940923744
PP22_00010,train,0.0630949745406243,0.06276289572725258,-0.00033207881337171674
PP22_00012,train,0.1978557504873294,0.2022417153996101,0.004385964912280715
PP22_00014,train,0.4469149527515286,0.44357976653696496,-0.0033351862145636346
PP22_00015,train,0.06681034482758619,0.11907327586206895,0.05226293103448276
PP22_00016,train,0.04061776061776057,0.04895752895752892,0.00833976833976835
PP22_00017,train,0.526374859708193,0.5218855218855218,-0.004489337822671136
PP22_00021,train,0.30528441602154155,0.3046112420060586,-0.0006731740154829469
PP22_00022,train,0.1389473684210526,0.07929824561403509,-0.05964912280701751
PP22_00023,train,0.30749448934606904,0.34827332843497427,0.04077883908890523
PP22_00025,train,0.36759371221281745,0.3417976622329706,-0.025796049979846858
PP22_00026,train,0.23023255813953492,0.21162790697674416,-0.018604651162790753
PP22_00027,train,0.22931628135759963,0.23103787506148554,0.0017215937038859153
PP22_00029,train,0.18060918060918063,0.15401115401115406,-0.02659802659802657
PP22_00032,train,0.6470588235294117,0.6744421906693712,0.02738336713995948
PP22_00033,train,0.17027200685371602,0.18076675947740417,0.010494752623688153
PP22_00034,train,0.7387525562372188,0.7305725971370143,-0.008179959100204526
PP22_00037,train,0.10571736785329022,0.10571736785329022,0.0
PP22_00039,train,0.3371974087964541,0.37401977497442895,0.03682236617797485
PP22_00040,train,0.471395881006865,0.4610983981693364,-0.010297482837528626
PP22_00041,train,0.3143128863528293,0.38183547313361865,0.06752258678078937
PP22_00042,train,0.2683455637091394,0.27276517678452306,0.004419613075383633
PP22_00044,train,0.47089947089947093,0.4841269841269841,0.013227513227513144
PP22_00047,train,0.3432432432432433,0.375945945945946,0.0327027027027027
PP22_00049,train,0.2860829493087558,0.30101382488479267,0.014930875576036895
PP22_00050,train,0.2587611290017049,0.27846182989202506,0.019700700890320166
PP22_00052,train,0.26305609284332687,0.26305609284332687,0.0
PP22_00053,train,0.12265512265512268,0.13323713323713327,0.010582010582010581
PP22_00054,train,0.3494660304476256,0.3844580777096115,0.034992047261985904
PP22_00055,train,0.254675118858954,0.2545166402535658,-0.00015847860538820147
PP22_00058,train,0.43553585817888796,0.4391619661563255,0.003626107977437565
PP22_00059,train,0.1149168528170762,0.13526929759245465,0.020352444775378453
PP22_00060,train,0.22698412698412695,0.22857142857142854,0.0015873015873015817
PP22_00061,train,0.3068623219680622,0.3193785066896849,0.012516184721622747
PP22_00062,train,0.27249022164276404,0.2959582790091264,0.02346805736636237
PP22_00065,train,0.7675411836485662,0.7687614399023794,0.0012202562538132788
PP22_00070,train,0.3521534563879841,0.3076366268548679,-0.0445168295331162
PP22_00072,train,0.47127071823204425,0.48895027624309395,0.0176795580110497
PP22_00073,train,0.43437273386511965,0.4778825235678028,0.043509789702683155
PP22_00074,train,0.6108597285067874,0.5822021116138762,-0.02865761689291113
PP22_00075,train,0.11054421768707479,0.10289115646258506,-0.007653061224489721
PP22_00077,train,0.3544117647058823,0.3647058823529412,0.010294117647058898
PP22_00081,train,0.30404093876830773,0.3100405858478913,0.005999647079583559
PP22_00083,train,0.13186338089061822,0.15247153768554544,0.020608156794927224
PP22_00084,train,0.09471965160587914,0.14915623298856828,0.05443658138268914
PP22_00088,train,0.5524193548387097,0.5637096774193548,0.011290322580645107
PP22_00089,train,0.13752983293556087,0.13156324582338907,-0.005966587112171795
PP22_00091,train,0.23146997929606627,0.2596273291925466,0.028157349896480333
PP22_00093,train,0.05937683715461495,0.10405643738977077,0.044679600235155825
PP22_00094,train,0.12706766917293233,0.12593984962406013,-0.0011278195488721998
PP22_00095,train,0.679144385026738,0.679144385026738,0.0
PP22_00097,train,0.2742424242424243,0.27121212121212124,-0.00303030303030305
PP22_00101,train,0.40951276102088163,0.3700696055684455,-0.03944315545243615
PP22_00103,train,0.787714647919788,0.7834505013253429,-0.004264146594445073
PP22_00104,train,0.6995384989069711,0.6873937333009472,-0.012144765606023844
PP22_00106,train,0.773565441650548,0.7669890393294648,-0.006576402321083141
PP22_00108,train,0.6286247911137324,0.6285592581670435,-6.553294668887322e-05
PP22_00110,train,0.8491318327974277,0.862636655948553,0.013504823151125334
PP22_00111,train,0.7397820163487738,0.7411444141689374,0.0013623978201635634
PP22_00112,train,0.7888175003824385,0.7888939880679211,7.648768548262908e-05
PP22_00115,train,0.8027306967984934,0.795668549905838,-0.007062146892655385
PP22_00116,train,0.8639667705088265,0.8618899273104881,-0.0020768431983384517
PP22_00119,train,0.5401459854014599,0.5240875912408759,-0.016058394160583966
PP22_00120,train,0.3487698986975398,0.23516642547033284,-0.11360347322720699
PP22_00123,train,0.33818589025755874,0.33594624860022393,-0.002239641657334812
PP22_00128,train,0.5696202531645569,0.5879342849447886,0.01831403178023172
PP22_00129,train,0.2740157480314961,0.2692913385826772,-0.0047244094488189115
PP22_00132,train,0.33506831489915423,0.34222511385816523,0.0071567989590110015
PP22_00135,train,0.5698529411764706,0.5857843137254901,0.01593137254901955
PP22_00136,train,0.23757993113625187,0.23757993113625187,0.0
PP22_00137,train,0.33644859813084116,0.33729821580288866,0.0008496176720474979
PP22_00140,train,0.05904522613065322,0.07412060301507539,0.015075376884422176
PP22_00142,train,0.43728813559322033,0.4451977401129944,0.007909604519774072
PP22_00143,train,0.43854748603351956,0.44134078212290506,0.0027932960893854997
PP22_00145,train,0.39288266399885663,0.43833071316278405,0.04544804916392742
PP22_00146,train,0.38091068301225917,0.3698774080560421,-0.011033274956217087
PP22_00148,train,0.30634920634920637,0.2656084656084656,-0.040740740740740744
PP22_00151,train,0.2636471518987342,0.26166930379746833,-0.001977848101265889
PP22_00152,train,0.3443263180733348,0.34584508570188766,0.0015187676285528529
PP22_00154,train,0.5107480653482372,0.5167669819432502,0.006018916595012969
PP22_00155,train,0.4873622812702527,0.5139338950097213,0.02657161373946859
PP22_00156,train,0.35357825440645574,0.32214907623699296,-0.03142917816946278
